"","sensor","acquisitionDate","path","row","sceneCenterLatitude","sceneCenterLongitude","cloudCover","cloudCoverFull","year","doy","browseURL"
"39","TM",1986-03-02 07:48:45,176,36,"34.613373 33.075035","34.613373 33.075035",5,55,"1986",61,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/03/02/LS05_RFUI_TM__GTC_1P_19860302T074845_19860302T074913_010643_0176_0036_8167.ZIP"
"40","TM",1986-03-18 07:48:26,176,36,"34.61087 33.055","34.61087 33.055",3,31,"1986",77,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/03/18/LS05_RFUI_TM__GTC_1P_19860318T074826_19860318T074855_010876_0176_0036_A452.ZIP"
"41","TM",1986-04-03 07:48:07,176,36,"34.610874 33.03","34.610874 33.03",0,0,"1986",93,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/04/03/LS05_RFUI_TM__GTC_1P_19860403T074807_19860403T074835_011109_0176_0036_91DE.ZIP"
"42","TM",1986-04-19 07:47:45,176,36,"34.610847 33.012527","34.610847 33.012527",0,0,"1986",109,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/04/19/LS05_RFUI_TM__GTC_1P_19860419T074745_19860419T074814_011342_0176_0036_F102.ZIP"
"43","TM",1986-05-05 07:47:22,176,36,"34.61087 32.995003","34.61087 32.995003",0,1,"1986",125,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/05/05/LS05_RFUI_TM__GTC_1P_19860505T074722_19860505T074750_011575_0176_0036_2F3C.ZIP"
"44","TM",1986-05-21 07:46:55,176,36,"34.61587 32.985","34.61587 32.985",1,15,"1986",141,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/05/21/LS05_RFUI_TM__GTC_1P_19860521T074655_19860521T074724_011808_0176_0036_AB23.ZIP"
"45","TM",1986-06-06 07:46:27,176,36,"34.61587 32.985","34.61587 32.985",0,0,"1986",157,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/06/06/LS05_RFUI_TM__GTC_1P_19860606T074627_19860606T074656_012041_0176_0036_F49E.ZIP"
"46","TM",1986-06-22 07:45:57,176,36,"34.615875 32.99","34.615875 32.99",0,0,"1986",173,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/06/22/LS05_RFUI_TM__GTC_1P_19860622T074557_19860622T074625_012274_0176_0036_CA22.ZIP"
"47","TM",1986-07-08 07:45:25,176,36,"34.61585 33.00253","34.61585 33.00253",0,1,"1986",189,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/07/08/LS05_RFUI_TM__GTC_1P_19860708T074525_19860708T074554_012507_0176_0036_B5F9.ZIP"
"48","TM",1986-08-09 07:44:17,176,36,"34.610847 33.032528","34.610847 33.032528",0,2,"1986",221,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/08/09/LS05_RFUI_TM__GTC_1P_19860809T074417_19860809T074446_012973_0176_0036_46BB.ZIP"
"49","TM",1986-08-25 07:43:41,176,36,"34.610847 33.05253","34.610847 33.05253",0,0,"1986",237,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/08/25/LS05_RFUI_TM__GTC_1P_19860825T074341_19860825T074410_013206_0176_0036_A37D.ZIP"
"50","TM",1986-09-10 07:43:07,176,36,"34.61085 33.057472","34.61085 33.057472",0,2,"1986",253,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/09/10/LS05_RFUI_TM__GTC_1P_19860910T074307_19860910T074336_013439_0176_0036_8A33.ZIP"
"51","TM",1986-09-26 07:42:38,176,36,"34.61085 33.037476","34.61085 33.037476",4,44,"1986",269,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/09/26/LS05_RFUI_TM__GTC_1P_19860926T074238_19860926T074306_013672_0176_0036_8976.ZIP"
"52","TM",1986-10-12 07:42:07,176,36,"34.61085 33.02253","34.61085 33.02253",0,5,"1986",285,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/10/12/LS05_RFUI_TM__GTC_1P_19861012T074207_19861012T074235_013905_0176_0036_FD59.ZIP"
"53","TM",1986-10-28 07:41:34,176,36,"34.615875 33.005","34.615875 33.005",0,0,"1986",301,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/10/28/LS05_RFUI_TM__GTC_1P_19861028T074134_19861028T074202_014138_0176_0036_5605.ZIP"
"54","TM",1986-11-13 07:40:57,176,36,"34.61587 32.995","34.61587 32.995",0,0,"1986",317,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/11/13/LS05_RFUI_TM__GTC_1P_19861113T074057_19861113T074126_014371_0176_0036_4472.ZIP"
"55","TM",1986-11-29 07:40:45,176,36,"34.613373 33.055035","34.613373 33.055035",1,17,"1986",333,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/11/29/LS05_RFUI_TM__GTC_1P_19861129T074045_19861129T074113_014604_0176_0036_28F6.ZIP"
"56","TM",1986-12-15 07:41:12,176,36,"34.613373 33.09504","34.613373 33.09504",1,18,"1986",349,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/12/15/LS05_RFUI_TM__GTC_1P_19861215T074112_19861215T074141_014837_0176_0036_580B.ZIP"
"57","TM",1986-12-31 07:41:42,176,36,"34.613346 33.127506","34.613346 33.127506",3,31,"1986",365,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/12/31/LS05_RFUI_TM__GTC_1P_19861231T074142_19861231T074210_015070_0176_0036_4A8E.ZIP"
"58","TM",1987-02-01 07:42:39,176,36,"34.61085 33.187542","34.61085 33.187542",0,2,"1987",32,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/02/01/LS05_RFUI_TM__GTC_1P_19870201T074239_19870201T074308_015536_0176_0036_777F.ZIP"
"59","TM",1987-02-17 07:43:17,176,36,"34.6109 33.172546","34.6109 33.172546",1,15,"1987",48,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/02/17/LS05_RFUI_TM__GTC_1P_19870217T074317_19870217T074346_015769_0176_0036_7D17.ZIP"
"60","TM",1987-03-05 07:43:54,176,36,"34.610897 33.152542","34.610897 33.152542",7,71,"1987",64,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/03/05/LS05_RFUI_TM__GTC_1P_19870305T074354_19870305T074423_016002_0176_0036_693D.ZIP"
"61","TM",1987-03-21 07:44:30,176,36,"34.610897 33.13254","34.610897 33.13254",0,1,"1987",80,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/03/21/LS05_RFUI_TM__GTC_1P_19870321T074430_19870321T074458_016235_0176_0036_EE6D.ZIP"
"62","TM",1987-04-06 07:45:04,176,36,"34.613373 33.115036","34.613373 33.115036",0,1,"1987",96,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/04/06/LS05_RFUI_TM__GTC_1P_19870406T074504_19870406T074532_016468_0176_0036_C6C9.ZIP"
"63","TM",1987-04-22 07:45:34,176,36,"34.613346 33.107506","34.613346 33.107506",0,0,"1987",112,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/04/22/LS05_RFUI_TM__GTC_1P_19870422T074534_19870422T074603_016701_0176_0036_532C.ZIP"
"64","TM",1987-05-24 07:46:28,176,36,"34.613373 33.115036","34.613373 33.115036",0,8,"1987",144,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/05/24/LS05_RFUI_TM__GTC_1P_19870524T074628_19870524T074656_017167_0176_0036_B611.ZIP"
"65","TM",1987-06-09 07:46:51,176,36,"34.61339 33.132507","34.61339 33.132507",0,0,"1987",160,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/06/09/LS05_RFUI_TM__GTC_1P_19870609T074651_19870609T074719_017400_0176_0036_949B.ZIP"
"66","TM",1987-06-25 07:47:12,176,36,"34.610874 33.15507","34.610874 33.15507",0,1,"1987",176,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/06/25/LS05_RFUI_TM__GTC_1P_19870625T074712_19870625T074740_017633_0176_0036_510A.ZIP"
"67","TM",1987-07-11 07:47:30,176,36,"34.610924 33.19007","34.610924 33.19007",0,0,"1987",192,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/07/11/LS05_RFUI_TM__GTC_1P_19870711T074730_19870711T074759_017866_0176_0036_1771.ZIP"
"68","TM",1987-08-12 07:48:22,176,36,"34.613346 33.177505","34.613346 33.177505",0,0,"1987",224,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/08/12/LS05_RFUI_TM__GTC_1P_19870812T074822_19870812T074851_018332_0176_0036_6DE8.ZIP"
"69","TM",1987-08-28 07:48:49,176,36,"34.61085 33.167545","34.61085 33.167545",0,0,"1987",240,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/08/28/LS05_RFUI_TM__GTC_1P_19870828T074849_19870828T074918_018565_0176_0036_F4C6.ZIP"
"70","TM",1987-09-13 07:49:13,176,36,"34.613373 33.159977","34.613373 33.159977",0,2,"1987",256,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/09/13/LS05_RFUI_TM__GTC_1P_19870913T074913_19870913T074941_018798_0176_0036_AABE.ZIP"
"71","TM",1987-09-29 07:49:34,176,36,"34.6134 33.162502","34.6134 33.162502",0,0,"1987",272,"http://landsat-ds.eo.esa.int/products/LANDSAT/1987/09/29/LS05_RFUI_TM__GTC_1P_19870929T074934_19870929T075003_019031_0176_0036_0D57.ZIP"
