Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
LM11910371973005AAA02,,1973-01-05T08:05:06Z,1973-01-05T08:05:35Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910371973005AAA02,http://earthexplorer.usgs.gov/browse/mss/191/37/1973/119103700730059002.jpg,,DAY,
LM11910361973023GDS03,,1973-01-23T08:04:42Z,1973-01-23T08:05:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910361973023GDS03,http://earthexplorer.usgs.gov/browse/mss/191/36/1973/119103600730239003.jpg,,DAY,
LM11910371973023GDS04,,1973-01-23T08:05:07Z,1973-01-23T08:05:35Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910371973023GDS04,http://earthexplorer.usgs.gov/browse/mss/191/37/1973/119103700730239004.jpg,,DAY,
LM11890361973129AAA05,,1973-05-09T00:00:00Z,1973-05-09T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890361973129AAA05,http://earthexplorer.usgs.gov/browse/mss/189/36/1973/LM1189036007312990.jpg,,DAY,
LM11890371973129AAA05,,1973-05-09T00:00:00Z,1973-05-09T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890371973129AAA05,http://earthexplorer.usgs.gov/browse/mss/189/37/1973/LM1189037007312990.jpg,,DAY,
LM11900361973130AAA05,,1973-05-10T00:00:00Z,1973-05-10T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900361973130AAA05,http://earthexplorer.usgs.gov/browse/mss/190/36/1973/LM1190036007313090.jpg,,DAY,
LM11900371973130FAK04,,1973-05-10T07:59:49Z,1973-05-10T08:00:17Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371973130FAK04,http://earthexplorer.usgs.gov/browse/mss/190/37/1973/119003700731309004.jpg,,DAY,
LM11880361973182AAA05,,1973-07-01T00:00:00Z,1973-07-01T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880361973182AAA05,http://earthexplorer.usgs.gov/browse/mss/188/36/1973/LM1188036007318290.jpg,,DAY,
LM11880371973182AAA05,,1973-07-01T00:00:00Z,1973-07-01T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880371973182AAA05,http://earthexplorer.usgs.gov/browse/mss/188/37/1973/LM1188037007318290.jpg,,DAY,
LM11880361973236AAA02,,1973-08-24T07:46:29Z,1973-08-24T07:46:54Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880361973236AAA02,,,DAY,
LM11880371973236AAA02,,1973-08-24T07:47:08Z,1973-08-24T07:47:48Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880371973236AAA02,,,DAY,
LM11900371973274AAA05,,1973-10-01T07:57:41Z,1973-10-01T07:58:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371973274AAA05,http://earthexplorer.usgs.gov/browse/mss/190/37/1973/119003700732749005.jpg,,DAY,
LM21900351975039AAA02,,1975-02-08T07:47:07Z,1975-02-08T07:47:36Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21900351975039AAA02,http://earthexplorer.usgs.gov/browse/mss/190/35/1975/219003500750399002.jpg,,DAY,
LM21900351975129GDS03,,1975-05-09T07:46:42Z,1975-05-09T07:47:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21900351975129GDS03,http://earthexplorer.usgs.gov/browse/mss/190/35/1975/219003500751299003.jpg,,DAY,
LM21910351975130GDS03,,1975-05-10T07:52:25Z,1975-05-10T07:52:53Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21910351975130GDS03,http://earthexplorer.usgs.gov/browse/mss/191/35/1975/219103500751309003.jpg,,DAY,
LM21910351975148AAA06,,1975-05-28T07:52:27Z,1975-05-28T07:52:56Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21910351975148AAA06,http://earthexplorer.usgs.gov/browse/mss/191/35/1975/219103500751489006.jpg,,DAY,
LM21900351975165AAA05,,1975-06-14T00:00:00Z,1975-06-14T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21900351975165AAA05,http://earthexplorer.usgs.gov/browse/mss/190/35/1975/LM2190035007516590.jpg,,DAY,
LM21910351975166GMD03,,1975-06-15T07:52:40Z,1975-06-15T07:53:08Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM21910351975166GMD03,http://earthexplorer.usgs.gov/browse/mss/191/35/1975/219103500751669003.jpg,,DAY,
